applicant_id,first_name,last_name,email,phone,university,gpa,country,timezone,application_date,submission_time,submission_duration_min,position_applied,years_experience,technical_skills_count,soft_skills_count,resume_file_size_kb,device_type,ip_address,referral_source,email_domain,is_fraudulent,fraud_type,application_datetime,email_username_length,has_suspicious_domain,name_length_ratio,suspicious_ip,submission_speed,application_hour,is_night_hour
APP_000142,Chris,Williams,chris.williams370@gmail.com,+1-335-289-4070,Community College,3.88,India,EST,2024-03-19,16:00:00,66,Research Assistant,0,5,2,63,Windows Firefox,192.168.27.23,Company Website,gmail.com,False,,2024-03-19 16:00:00,17,0,0.65,0,13.2,16,0
APP_FRAUD_0235,Maria,Davis,maria.davis@synthetic-mail.com,+346-168-970-3158,Liberal Arts College,3.82,UK,,2024-04-27,16:00:00,8,Research Assistant,5,9,7,91,Windows Chrome,192.168.144.174,Unknown,synthetic-mail.com,True,synthetic_identity,2024-04-27 16:00:00,11,1,0.5,0,0.8888888888888888,16,0
APP_001063,Emily,Williams,emily.williams419@company.com,+1-991-217-8488,Community College,3.41,Germany,CET,2024-01-26,09:00:00,20,Software Developer Intern,2,2,3,468,Mac Safari,192.168.188.209,Company Website,company.com,False,,2024-01-26 09:00:00,17,0,0.65,0,10.0,9,0
APP_000546,Sarah,Williams,sarah.williams786@gmail.com,+1-305-917-9230,International University,3.38,Canada,CET,2024-03-04,15:00:00,45,Software Developer Intern,1,3,4,372,Mobile iOS,192.168.181.163,LinkedIn,gmail.com,False,,2024-03-04 15:00:00,17,0,0.65,0,15.0,15,0
APP_001699,John,Smith,john.smith696@hotmail.com,+1-671-388-3986,Community College,3.55,China,GMT,2024-03-02,10:00:00,110,Marketing Intern,2,2,3,301,Windows Chrome,192.168.193.246,Company Website,hotmail.com,False,,2024-03-02 10:00:00,13,0,0.45,0,55.0,10,0
APP_000568,Mike,Smith,mike.smith151@hotmail.com,+1-983-386-8696,Online University,3.33,China,EST,2024-03-03,10:00:00,21,Software Developer Intern,2,4,3,260,Mobile iOS,192.168.39.185,Company Website,hotmail.com,False,,2024-03-03 10:00:00,13,0,0.45,0,5.25,10,0
APP_000019,Chris,Miller,chris.miller284@gmail.com,+1-922-637-1158,State University,3.46,USA,CST,2024-02-03,13:00:00,40,Data Science Intern,0,3,4,68,Mobile iOS,192.168.142.214,Company Website,gmail.com,False,,2024-02-03 13:00:00,15,0,0.55,0,13.333333333333334,13,0
APP_001605,David,Garcia,david.garcia169@yahoo.com,+1-492-217-6169,Liberal Arts College,3.67,UK,EST,2024-02-16,11:00:00,83,Research Assistant,1,3,4,323,Mobile iOS,192.168.233.109,LinkedIn,yahoo.com,False,,2024-02-16 11:00:00,15,0,0.55,0,27.666666666666668,11,0
APP_000390,Jane,Miller,jane.miller322@gmail.com,+1-495-770-1665,State University,3.38,Australia,EST,2024-05-13,11:00:00,83,Marketing Intern,2,5,2,247,Windows Firefox,192.168.181.73,Job Portal,gmail.com,False,,2024-05-13 11:00:00,14,0,0.5,0,16.6,11,0
APP_000202,Jane,Garcia,jane.garcia32@yahoo.com,+1-764-558-6640,Tech Institute,3.4,Germany,GMT,2024-06-01,16:00:00,42,Marketing Intern,1,2,3,64,Mobile iOS,192.168.151.99,University,yahoo.com,False,,2024-06-01 16:00:00,13,0,0.5,0,21.0,16,0
