applicant_id,first_name,last_name,email,phone_number,university,major,gpa,graduation_year,application_date,position_applied,years_of_experience,skills,application_status,salary_expectation,availability,resume_submitted,cover_letter,references_provided
APP-0001,John,Lopez,JOHN.LOPEZ@EMAIL.COM,+17744039928,Private College,Psychology,4.43,2024.0,2024-04-07,Business Analyst Intern,34.0,"Tableau, Java",Under Review,,3 months,True,,1.0
APP0002,Matthew,Davis,matthew215@email.com,+13676737216,State University,Business Administration,3.5,2022.0,25-05-2024,Business Analyst Intern,1.0,"Excel, SQL, JavaScript",Accepted,39765,Immediate,False,False,1.0
APP-0003,Michael,Miller,michael.miller@email.com,+13145008123,Tech Institute,Mathematics,3.24,2026.0,09-02-2024,Marketing Intern,1.0,Data Analysis,Accepted,30924,2 weeks,False,No,5.0
APP_0004A,Matthew,Rodriguez,mrodriguez@email.com,648-729-8397,State University,Psychology,3.89,2022.0,01-03-2024,UX Design Intern,0.0,"JavaScript, PowerPoint, Tableau, Communication, Java, Python, R, Machine Learning",Under Review,,immediate,False,No,1.0
APP-0005,David,Miller,miller.david@email.com,(300) 251-9856,Public University,Mathematics,2.15,2022.0,05/04/2024,Business Analyst Intern,,Communication, rejected ,,1 month,1,Yes,5.0
APP0006,Sarah ,Anderson,anderson.sarah @email.com,334.887.5915,Public University,Business Administration,3.41,2022.0,24-02-2024,UX Design Intern,,"R, Excel, SQL, PowerPoint", rejected ,19400,Flexible,True,False,4.0
APP0007B,Amanda,Martinez,amanda874@email.com,852.468.3647,Liberal Arts College,Communications,1.88,2022.0,04/20/2024,Research Assistant,1.0,R,Rejected,20801, ASAP,False,False,2.0
APP_0008A,Matthew,Williams,williams.matthew@email.com,+18753977528,Online University,Marketing,3.7,2022.0,2024-03-08,Business Analyst Intern,0.0,Tableau; Data Analysis,Accepted,25819,immediate,0,YES,4.0
APP_0009,James,Miller,miller.james@email.com,640.793.6279,Liberal Arts College,Communications,3.07,2025.0,01-03-2024,Research Assistant,,"PowerPoint, Data Analysis, Java, Communication",Rejected,493721,2 weeks,False,No,5.0
APP-0010,Jane,Rodriguez,rodriguez.jane@email.com,362.961.8777,Public University,Business Administration,3.09,2024.0,01-03-2024,Business Analyst Intern,0.0,"Communication, SQL, JavaScript, Java, Tableau, Data Analysis, Project Management",Submitted,15193,immediate,No,,3.0
APP-0011A,Laura,Brown,brown.laura@email.com,(330) 837-9751,Online University,Biology,3.4,2024.0,"Jan 21, 2023",Software Developer Intern,0.0,Various technical skills,ACCEPTED,37920,Flexible,False,True,4.0
APP-0012,Emily,jones,jones.emily@email.com,779.242.6688,State University,Business Administration,2.53,2022.0,"Apr 02, 2024",Data Science Intern,0.0,"Data Analysis, Machine Learning, PowerPoint, Communication, Tableau",ACCEPTED,27418,immediate,No,,2.0
APP0013,Christopher,Garcia,christopher719@email.com,907.687.9041,Community College,Economics,2.89,2023.0,"Mar 29, 2024",Software Developer Intern,0.0,"Excel, JavaScript, Java, Project Management, R",Pending,24273,2 weeks,Yes,No,2.0
APP0014B,John,Lopez,john567@email.com,+16806908216,Private College,Computer Science,3.43,2023.0,24-05-2024,Data Science Intern,0.0,"Machine Learning, Tableau, PowerPoint, Data Analysis",Under Review,36640,2 weeks,False,No,4.0
APP0015A,John,Miller,john238@email.com,+16353179922,International University,Marketing,3.89,2025.0,29-04-2024,Software Developer Intern,0.0,Various technical skills,Submitted,16318,1 month,1,False,3.0
APP_0016A,Michelle,Hernandez,michelle419@email.com,+18786101601,State University,Biology,3.21,2022.0,12-05-2024,Software Developer Intern,1.0,"Machine Learning, SQL, Excel, PowerPoint, Communication",Submitted,18717,2-4 weeks ,0,,1.0
APP_0017B,Matthew,Miller,mmiller@email.com,202.489.5891,Online University,Economics,3.08,2025.0,02/18/2024,Data Science Intern,43.0,"Communication, Tableau, Project Management, SQL, PowerPoint, Python, Java, Excel",ACCEPTED,,1 month,0,No,0.0
APP_0018B,James,Martinez,martinez.james@email.com,432.964.2480,Tech Institute,Computer_Science,3.34,2026.0,15-01-2024,Business Analyst Intern,1.0,"SQL, Communication, Java",ACCEPTED,30245,Flexible,False,Yes,3.0
APP_0019B,Michelle,Lopez,lopez.michelle@email.com,208.779.1803,Community College,Data Science,3.06,2024.0,06/22/2024,Business Analyst Intern,0.0,"Python, Data Analysis, R, SQL, Java, Machine Learning, Tableau, JavaScript",Pending,30789,Flexible,True,no,0.0
APP0020A,Robert,Wilson,robert15@email.com,798-590-7086,International University,Computer Science,3.68,2026.0,"Mar 18, 2024",Data Science Intern,1.0,"Project Management, Machine Learning, Tableau, SQL, Data Analysis, R",Accepted,18255,immediate,0,YES,0.0
APP_0021B,Christopher,Johnson,christopher.johnson at email.com,(328) 778-4362,International University,Computer Science,2.89,2025.0,Pending,Data Science Intern,1.0,"Machine Learning, Java, Project Management, PowerPoint, Communication, Tableau, SQL", rejected ,30695, ASAP,0,Yes,3.0
APP-0022,MICHAEL,Anderson,michael282@email.com,640.662.4743,Tech Institute,Marketing,3.24,2025.0,"Feb 09, 2024",ux design intern,0.0,"SQL, Machine Learning, Python, Project Management, R, PowerPoint",Pending,21971,1 month,False,,0.0
APP_0023B,Sarah,Gonzalez,sarah.gonzalez@email.com,(910) 473-1474,Private College,Marketing,2.48,2022.0,2024-05-25,Data Science Intern,22.0,"PowerPoint, Project Management, Tableau, Communication, Machine Learning",ACCEPTED,34638,Immediate,False,YES,1.0
APP0024B,Amanda,Garcia,garcia.amanda@email.com,279.520.8033,State University,Communications,3.21,2023.0,25-06-2024,UX Design Intern,1.0,"Tableau, Excel", rejected ,36149,1 month,True,No,2.0
APP0025A,David,gonzalez,gonzalez.david@email.com,+16502698682,Public University,Marketing,3.46,2025.0,"Jan 24, 2024",Data Science Intern,0.0,"Data Analysis, Project Management, JavaScript, R, PowerPoint, Excel, Java, Python",Rejected,,2-4 weeks ,1,True,4.0
APP0026B,Elizabeth,Anderson,elizabeth.anderson@email.com,+14904583463,Liberal Arts College,Marketing,4.0,2026.0,13-06-2024,Software Developer Intern,0.0,"Project Management, Communication",ACCEPTED,24692,2 weeks,1,,5.0
APP-0027,James,Anderson,janderson@email.com,654.825.5668,Public University,Communications,3.78,2024.0,28-04-2024,Business Analyst Intern,5.0,"Data Analysis, SQL, Excel, Python",Pending,,1 month,No,True,1.0
APP_0028,Jessica ,Wilson,wilson.jessica @email.com,+19318656493,Public University ,Business_Administration,3.39,2022.0,02/25/2024,Research Assistant,3.0,"JavaScript, Excel, Java, Python, Communication",Submitted,24544, ASAP,1,YES,1.0
APP-0029,Emily,Hernandez,emily.hernandez@email.com,+15652696649,Liberal Arts College,Economics,3.65,2024.0,2024-02-04,marketing intern,,"Python, JavaScript, Communication, R",Accepted,36487,immediate,True,,2.0
APP_0030,Daniel,Anderson,anderson.daniel@email.com,+17585006262,Public University ,Psychology,3.25,2024.0,21-04-2024,UX Design Intern,,"R, Machine Learning, SQL, Python, Data Analysis, Tableau, Excel",review,180445,2-4 weeks ,Yes,no,0.0
APP-0031A,Elizabeth,Miller,emiller@email.com,(775) 320-5288,Public University,Psychology,3.18,2024.0,17-01-2024,Data Science Intern,0.0,"R, Machine Learning, JavaScript",In Process,17825,2 weeks,No,False,5.0
APP_0032,Michelle,Wilson,wilson.michelle@email.com,986-332-8088,International University,Mathematics,3.61,2025.0,09-06-2024,Data Science Intern,0.0,"SQL, Project Management, Data Analysis",Pending,35938,Immediate,0,True,2.0
APP-0033B,Laura,Brown,laura.brown@email.com,(675) 408-6573,Community College,Biology,3.08,2024.0,04/17/2024,Research Assistant,0.0,"JavaScript, SQL, PowerPoint, Machine Learning, Data Analysis, Communication",Accepted,34579,2-4 weeks ,1,Yes,0.0
APP_0034A,Matthew ,Lopez,mlopez@email.com,+18388962946,Liberal Arts College,Mathematics,2.85,2024.0,01/10/2024,Marketing Intern,2.0,"R, Data Analysis, Communication", rejected ,15545,immediate,0,Yes,3.0
APP_0034A,Matthew ,Lopez,mlopez2@email.com,+18388962946,Liberal Arts College,Mathematics,2.85,2024.0,01/10/2024,Marketing Intern,2.0,"R, Data Analysis, Communication", rejected ,15545,immediate,0,Yes,3.0
APP-0036,James,Davis,james281@email.com,554.652.5201,International University,Communications,3.53,2026.0,01/13/2024,Research Assistant,1.0,"PROJECT MANAGEMENT, SQL",Accepted,16938,2 weeks,False,True,5.0
APP-0037,Emily,Miller,miller.emily@email.com,856.756.9590,International University,Engineering,3.66,2023.0,Pending,Software Developer Intern,2.0,"SQL, Data Analysis, Tableau, Project Management",Accepted,, ASAP,No,,2.0
APP_0038B,John,Jones,jones.john@email.com,906-320-5833,Public University,Data Science,3.22,2025.0,2024-06-23,Business Analyst Intern,0.0,"Python, Machine Learning",Accepted,29597,Immediate,False,True,3.0
APP_0039,Daniel,Hernandez,daniel.hernandez@email.com,917-265-9866,Private College,Economics,3.05,2023.0,"Apr 06, 2024",Research Assistant,2.0,"Java, SQL, Machine Learning, Tableau, Project Management, R", rejected ,30093,immediate,Yes,No,5.0
APP0040,Michelle ,Martinez,MICHELLE .MARTINEZ@EMAIL.COM,450-958-1724,Online University,Psychology,2.7,2025.0,02/06/2024,Research Assistant,0.0,Project Management; Communication; Tableau,In Process,21025,Unknown,False,,1.0
APP_0041A,DANIEL,Anderson,danderson@email.com,(538) 862-2295,Community College,Psychology,3.74,2024.0,01/04/2024,Business Analyst Intern,0.0,"JavaScript, Data Analysis, Communication, Tableau, Project Management, Excel, SQL, R",ACCEPTED,25493,3 months,Yes,no,0.0
APP-0042A,David,Smith,david428@email.com,940.857.9037,Public University,Computer Science,3.77,2025.0,2024-01-20,Research Assistant,1.0,"Python, JavaScript, Machine Learning",Submitted,,Unknown,True,Yes,4.0
APP-0043B,Amanda,Smith,asmith@email.com,280.582.7652,Tech Institute,Computer Science,2.94,2022.0,"Apr 07, 2024",Business Analyst Intern,,"Java, PowerPoint, Tableau",Accepted,30581,Flexible,True,False,2.0
APP-0044,Emily,anderson,anderson.emily@email.com,+15939733292,Private College,Communications,,2024.0,"Jun 01, 2024",UX Design Intern,3.0,"PowerPoint, JavaScript, R, Machine Learning, Tableau, Project Management, Java, Excel",Pending,39237, ASAP,Yes,Yes,0.0
APP0045B,Daniel,Garcia,garcia.daniel@email.com,594.212.5781,Community College,Biology,2.88,2024.0,09-03-2024,Software Developer Intern,1.0,"PowerPoint, Java, R, Excel, JavaScript",review,25798,2-4 weeks ,No,,5.0
APP-0046A,Amanda,Garcia,garcia.amanda@email.com,789-448-6339,Public University,Marketing,3.27,2022.0,"Jan 18, 2024",Business Analyst Intern,2.0,"COMMUNICATION, TABLEAU, PROJECT MANAGEMENT",review,32593,2 weeks,False,False,5.0
APP_0047A,Jane,Martinez,jane771@email.com,656.583.7408,Online University,Marketing,3.9,2022.0,2024-01-22,Data Science Intern,1.0,"Machine Learning, PowerPoint, R, Project Management",Under Review,,immediate,0,,1.0
APP-0048A,Emily,Rodriguez,rodriguez.emily@email.com,229-955-4232,Tech Institute,Psychology,3.44,2026.0,2024-04-27,Business Analyst Intern,1.0,"Data Analysis, Tableau, Communication, Java, R, SQL, JavaScript",Rejected,27232,1 month,No,no,4.0
APP0049,Michelle,Williams,mwilliams@email.com,339.399.7290,Public University,Computer Science,3.14,2024.0,26-02-2023,Software Developer Intern,0.0,"Machine Learning, Communication, Java, Data Analysis, Excel, Tableau, PowerPoint, SQL",Under Review,16056,2-4 weeks ,Yes,,0.0
APP_0050,Jessica,Brown,brown.jessica@email.com,+14878119827,Tech Institute,Biology,3.28,2025.0,03/11/2024,UX Design Intern,0.0,"Project Management, Tableau, PowerPoint, SQL",Under Review,27093,2-4 weeks ,Yes,True,0.0
APP-0051,Daniel,Hernandez,hernandez.daniel@email.com,(416) 706-5399,PUBLIC UNIVERSITY,Engineering,,2022.0,"Jan 01, 2024",Research Assistant,1.0,"Excel, Java, R",Accepted,21993,2-4 weeks ,False,True,1.0
APP-0052,John,Smith,jsmith@email.com,305-520-7022,State University,Psychology,,2024.0,06/09/2024,Software Developer Intern,0.0,"SQL, Java",Under Review,24336,Immediate,False,True,4.0
APP-0053A,Robert,Jones,jones.robert@email.com,740-212-6916,State University ,Data_Science,3.66,2023.0,"Jan 16, 2024",Business Analyst Intern,0.0,"Java, Project Management, Machine Learning, Data Analysis, SQL, PowerPoint, Python",Under Review,22819,Immediate,True,no,0.0
APP_0054,Amanda,Hernandez,ahernandez@email.com,+15803295403,Tech Institute,Computer Science,3.31,2023.0,05/25/2024,Marketing Intern,0.0,"JAVASCRIPT, MACHINE LEARNING, ",Rejected,38397, ASAP,Yes,No,3.0
APP-0055B,MATTHEW,Wilson,matthew.wilson@email.com,+15352888483,Public University,Data Science,2.98,2026.0,05/19/2024,Research Assistant,,"Project Management, Python, R, Communication, Tableau, PowerPoint",Submitted,16438,3 months,No,False,2.0
APP_0056,Sarah,Rodriguez,sarah.rodriguez@email.com,522-602-6345,Liberal Arts College,Business Administration,3.6,2026.0,"Feb 23, 2024",Data Science Intern,0.0,"Communication, Data Analysis, Python, JavaScript, R",Pending,29817,Unknown,False,Yes,3.0
APP0057A,SARAH,Smith,smith.sarah@email.com,(860) 286-5240,PUBLIC UNIVERSITY,Biology,,2026.0,"Apr 11, 2023",Marketing Intern,0.0,Excel; Communication; PowerPoint, rejected ,28737,3 months,False,False,4.0
