applicant_id,first_name,last_name,email,phone_number,university,major,gpa,graduation_year,application_date,position_applied,years_of_experience,skills,application_status,salary_expectation,availability,resume_submitted,cover_letter,references_provided,full_name,days_since_application,experience_level,gpa_category
APP-0001,John,Lopez,john.lopez@email.com,+1 (774) 403-9928,Private College,Psychology,4.0,2024.0,2024-04-07,Business Analyst Intern,10.0,"Tableau, Java",Under Review,28139.0,3 Months,True,False,1,John Lopez,555.0,Experienced (5+ years),3.5-4.0
APP0002,Matthew,Davis,matthew215@email.com,+1 (367) 673-7216,State University,Business Administration,3.5,2022.0,,Business Analyst Intern,1.0,"Excel, SQL, JavaScript",Accepted,39765.0,Immediate,False,False,1,Matthew Davis,,Beginner (0-2 years),3.5-4.0
APP-0003,Michael,Miller,michael.miller@email.com,+1 (314) 500-8123,Tech Institute,Mathematics,3.24,2026.0,,Marketing Intern,1.0,Data Analysis,Accepted,30924.0,2 Weeks,False,False,5,Michael Miller,,Beginner (0-2 years),3.0-3.4
APP_0004A,Matthew,Rodriguez,mrodriguez@email.com,(648) 729-8397,State University,Psychology,3.89,2022.0,,Ux Design Intern,0.0,"JavaScript, PowerPoint, Tableau, Communication, Java, Python, R, Machine Learning",Under Review,28139.0,Immediate,False,False,1,Matthew Rodriguez,,No Experience,3.5-4.0
APP-0005,David,Miller,miller.david@email.com,(300) 251-9856,Public University,Mathematics,2.15,2022.0,,Business Analyst Intern,0.0,Communication,Rejected,28139.0,1 Month,True,True,5,David Miller,,No Experience,2.0-2.9
APP0006,Sarah,Anderson,anderson.sarah@email.com,(334) 887-5915,Public University,Business Administration,3.41,2022.0,,Ux Design Intern,0.0,"R, Excel, SQL, PowerPoint",Rejected,19400.0,Flexible,True,False,4,Sarah Anderson,,No Experience,3.0-3.4
APP0007B,Amanda,Martinez,amanda874@email.com,(852) 468-3647,Liberal Arts College,Communications,1.88,2022.0,,Research Assistant,1.0,R,Rejected,20801.0,Immediate,False,False,2,Amanda Martinez,,Beginner (0-2 years),Below 2.0
APP_0008A,Matthew,Williams,williams.matthew@email.com,+1 (875) 397-7528,Online University,Marketing,3.7,2022.0,2024-03-08,Business Analyst Intern,0.0,Tableau; Data Analysis,Accepted,25819.0,Immediate,False,True,4,Matthew Williams,585.0,No Experience,3.5-4.0
APP_0009,James,Miller,miller.james@email.com,(640) 793-6279,Liberal Arts College,Communications,3.07,2025.0,,Research Assistant,0.0,"PowerPoint, Data Analysis, Java, Communication",Rejected,493721.0,2 Weeks,False,False,5,James Miller,,No Experience,3.0-3.4
APP-0010,Jane,Rodriguez,rodriguez.jane@email.com,(362) 961-8777,Public University,Business Administration,3.09,2024.0,,Business Analyst Intern,0.0,"Communication, SQL, JavaScript, Java, Tableau, Data Analysis, Project Management",Submitted,15193.0,Immediate,False,False,3,Jane Rodriguez,,No Experience,3.0-3.4
